id;nama_pengguna;tanggal;skor;ulasan;label
149;muhammad akmam rofiudin;14/02/2022 10:34;1;saya sudah membayar lunas pajak tahunan kendaraan namun di aplikasi tidak muncul QRcode dan tidak bisa diunduh dokumen digitalnya saya sudah komplain ke pihak cs namun sampai saat ini belum ada tanggapan pembayaran tgl 09-02-22 mohon sekiranya komplainan saya di tindak lanjuti terimakasih;-1
150;adrianus charlie;14/02/2022 7:52;1;diarahkan untuk datang ke samsat. trus, ngapain pake aplikasi ・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE;-1
151;Haha Hmm;13/02/2022 20:22;1;Kirain cuma saya pas mau verifikasi pendaftaran gagal terus ternyata banyak yang lain juga gagal pas verifikasi wajah nya, ini gimana tolong diperbaiki, biar bisa dipake aplikasinya・EE・EEｹ・EEｸ・EE;-1
152;antayou anda;13/02/2022 19:39;1;Ancur;-1
153;Ahmad fatay;13/02/2022 14:05;1;Gagal terus susah Di suruh ke Samsat;-1
154;Kikiki Store;13/02/2022 6:24;1;Mau bayar pajak stnk aja ribet bgt. Masa harus yg sesuai dgn nama yg tertera di stnk yg bayar. Klo mobil seken belum balik nama gk bisa. Ribet !;-1
155;Imam Fatur Rahman;12/02/2022 23:09;1;Verifikasi wajah gagal 10 kali. Apakah saya harus kembali umur 17 tahun agar wajah saya sama persis seperti di KTP? Entahlah, hanya pak pol yang tahu. Maaf, bintang 1;-1
156;Inas Aurita;12/02/2022 12:45;1;Bismillah. Kenapa sulit sekali verifikasi? Katanya foto profile tidak sesuai e-ktp? Masa muka saya mau sama dengan foto yg di ktp klo sudah lewat beberapa tahun :( udah coba berkali-kali;-1
157;Dewi P. Anggraeni;11/02/2022 21:53;1;Data tidak sesuai di STNK tercetak. Gaada solusi meskipun udah di email.;-1
158;Merza Saputra;11/02/2022 18:51;1;Sudah mengisi formulir alamat tujuan di aplikasi signal untuk mengirimkan dokumen..tetapi malah salah kirim dari samsat muara enim..sangat2 tidak memuaskan untuk aplikasi nasional..aplikasi belanja online aja bisa ngerimkan t4 tujuan...jadi harus bayar lagi 25.000 ke pos indonesia agar dia bisa kirimkan ke alamat saya;-1
159;Yuni Zara Pangaribuan;11/02/2022 18:10;1;Gak jelas woi. Mana STNK ku gak sampaiﾂｲ ..;-1
160;al luqman aziz;11/02/2022 17:52;1;Untuk Data kendaraan R4 Nama saya di Online Salah penulisan nama saya udah laporan email, Instragram , cs web, sebaiknya kita langsung ke operator nya aja kalau ada masalah data biar perubahan nya cepat ini nunggu nya sampai kapan gak ada kejelasan;-1
161;Uqie Rezpati;11/02/2022 15:17;1;diluar ekspektasi,,, berharap bisa bayar pajak kendaraan secara online,, nyatanya regis kendaraan saja gagal terus padahal data sudah lengkap dan sesuai,,, coba kontak cs via email&IG ujung-ujungnya disuruh ke samsat terdaftar sesuai data kendaraan,,, sama aja boong pake ginian;-1
162;Kurniawan Sulistianto;11/02/2022 11:25;1;Pendaftarannya ribet, foto ktp harus sesuai saat verifikasi biometrik! Bagaimana yg foto ktpnya sudah bertahun tahun lalu? Harus update data ke dukcapil? Mending langsung datang ke samsat, apps pelayanan pemerintahan gini sudah banyak, namun pelayanannya kurang karena mereka2 masih butuh gratifikasi!!!!!;-1
163;Andy Wong Yogya;11/02/2022 11:07;1;Susah banget daftar aplikasi ini. Sudah foto ktp dan wajah sesuai instruksi, tapi gagal terus.;-1
164;War Dani;11/02/2022 9:13;1;Setiap verifikasi wajah selalu gagal;-1
165;didik hartadi;11/02/2022 8:45;1;Verifikasi gagal terus, sudah 10x mencoba tetap aja verifikasi wajah gagal terus. Percuma dibuat kalau susah buat verifikasi, kan jadinya tidak bisa digunakan;-1
166;Syafrinaldi;11/02/2022 8:32;1;Tolong perbaiki server nya...;-1
167;Ismail Usman Afandi;11/02/2022 6:46;1;SAYA BERI BINTANG 1 SUSAH MAU DAFTAR PAYAH !!!;-1
168;lunox x;10/02/2022 17:11;1;"lol. pake verifikasi wajah , katanya beda sama di E kTP. situ waras ? sudah fto berkali"" sma aja njir..";-1
169;siti masitoh;10/02/2022 13:46;1;"Saat pendaftaran pengesahan pada isian ""Jenis Pengiriman"", menu pilihan tidak bisa muncul. Notifikasinya ""sistem pengiriman tidak dapat melayani permintaan ini, silahkan coba beberapa saat lagi"". Jadi untuk saat ini aplikasi ini tidak dapat digunakan.";-1
170;Desy K;10/02/2022 10:27;1;Semua data sdh terisi.. Di pendaftaran pengesahan STNK saat pilih jenis pengiriman tidak tersedia. Trs gmn mo lanjutnya??? Solusinya??;-1
171;Indra Sanjaya;10/02/2022 8:39;1;Sewaktu memilih dokumen TBPKP ini ingin dikirim ke alamat Anda, pemilihan Jasa Pengiriman belum dapat melayani permintaan. Semoga dalam waktu dekat bisa berfungsi normal. Sehingga penerimaan negara bukan pajak bertambah, rakyat senang dengan kemudahan yg diberikan. (・EE・EEｷ・EEｿ・EE・EEｷ);-1
172;MadBay Zet;10/02/2022 6:56;1;Susah banget daftarnya, slalu gagal di verifikasi wajah ga sesuai ktp lah namanya manusia pasti ada berubahnya masa iya kudu sama persis tolong lah di fix.;-1
173;Kiki Forever;10/02/2022 2:19;1;Sistem yh ribet;-1
174;al23 fasi;08/02/2022 19:20;1;lemot;-1
175;Kenzie Gaming;08/02/2022 17:47;1;Sulit sekali buat pendaftaran.;-1
176;Jhordy Saputra;08/02/2022 14:46;1;pilihan samsat nya ga muncul...;-1
177;Mohamad Rafli;08/02/2022 14:01;1;Ah parah, mentangﾂｲ waktu bikin KTP dulu gemuk sekarang kurus verifikasi e-ktp dibilang wajah gak sesuai, sialll.;-1
178;Priyana Anggiyawan;08/02/2022 13:23;1;Ga bisa nambah data kendaraan bermotor,, aplikasi nya jelek... masih blm di perbaiki;-1
179;Membramo East;08/02/2022 9:51;1;Aplikasi display only. Ga bisa bayar pajak. Kasian Indonesia ku.;-1
180;Kakak Adik;08/02/2022 7:25;1;"Pembayaran pajak yang pertama sukses. Selanjutnya kenapa selalu muncul notifikasi "" PENDAFTARAN PENGESAHAN STNK TIDAK DAPAT DIPROSES, SILAKAN HUBUNGI SAMSAT TERDEKAT ATAU CALL CENTER KAMI"". Sudah berminggu-minggu seperti ini terus padahal saya mau bayar pajak kendaraan kedua. Mohon jika aplikasi belum siap diluncurkan ya jangan buru-buru diluncurkan. Tolong secepatnya diperbaiki. Telp ke call center alasaanya bappeda sedang error. Apakah error itu berminggu-minggu.";-1
181;ray byax;07/02/2022 18:32;1;Kalo gk niat bikin aplikasi mending hapus aja aplikasinya... Menyusahkan orang banyak;-1
182;Adilian Dwisenna;07/02/2022 18:25;1;gagal pilih Jenis pengiriman mulu heran padahal udah semua data dimasukin;-1
183;bram jabar;07/02/2022 14:52;1;Jika diperbolehkan, data pribadi yang didaftarkan tidak harus sesuai dengan data pribadi yg terdaftar di BPKB krn masih banyak yg mempergunakan pinjam KTP DKI utk kendaraan yg dibeli di Jkt. Mohon kiranya bisa diluluskan permohonan ini. Terima kasih;-1
184;coba coba;07/02/2022 11:46;1;kenapa tidak bisa melakukan pendaftaran pengesahan stnk saat mau melakukan pembayaran.. dulu sempat bisa tapi karena waktunya sangat singkat sehingga kadaluarsa.. sekarang mau coba lagi tidak bisa.. ada penjelasan dan harus bagaimana kah.. seharusnya dan semoga aplikasi ini bisa membuat jadi lebih mudah;-1
185;flash hansen;07/02/2022 10:50;1;Perlu validasi nik dan data lain di samsat? Lalu apa guna apk ini? Apk tidak dapat diproses dan selalu muncul notif tidak berhasil didaftar, perlu validasi nik dan data lain di samsat. Harus ke samsat ya sama saja bro.;-1
186;Muhammad Ridwan;07/02/2022 9:52;1;Masih susah buat daftarnya, jawabannya invalid otp. Ribet betul masuk daftar;-1
187;Berita Indo HD;07/02/2022 6:40;1;Dibayar g bisa . Pilih jenis pengiriman juga g bisa .;-1
188;manoe sebastian;06/02/2022 23:29;1;lama pengiriman nya,saya harus konfirmasi dm ke ig signal.. malah di bilang saya tidak klik pengiriman berkas ke rmh,setelah saya ss bukti bahwa saya klik pengiriman lwt pos,baru minta maaf dan bakal di hubungi pihak terkait (pos),tpi blm ada kabar dan tindakan.. saya jg komplen ke email nya,sama sprti itu jg tanggapan nya,di kira saya ga klik pengiriman lwt pos,setelah bukti pembayaran dan kalau saya klik pengiriman lwt pos baru di ambil tindakan.. lama banget proses nya,sdh lbh dari seminggu;-1
189;Sulhajiati Rahmah M;06/02/2022 21:48;1;Tidak bisa mengecek brapa yang harus di bayar pajak kendaraan pertahunnya;-1
190;Raditya Mauza;06/02/2022 10:26;1;Maaf untuk perpanjang sim kok tidak bisa ya;-1
191;aris last;06/02/2022 10:15;1;Sejak di bayarkan bulan januari lalu sampai sekarang blm ada kabar stnk saya dari pihak samsat daerah;-1
192;D3-17 TI Sertu Bagas Kurnia;05/02/2022 18:37;1;stnk sampai sekarang belum sampai;-1
193;Rofiq Fadlilah;05/02/2022 7:19;1;"saya kasih bintang 1. krn waktu klik pendaftaran pengeseahan STNK dan memilih nomor NRKB. muncul notif tidak berhasil didaftarkan ""Pendafataran pengesahan STNK tidak dapat diproses, anda perlu validasi NIK dan data lainnya dikantor SAMSAT"".. lah sama saja harus datang ke samsat ・EE・EE･ｲ・EE・EE･ｲ・EE・EE･ｲ";-1
194;rosiana rosi;04/02/2022 21:50;1;Verifikasinya susah banget, sekali bisa lanjut ke foto selfi gagal;-1
195;Rosiana Mursita;04/02/2022 19:49;1;Daftar berkali-kali verifikasi E-KTP selalu gagal tidak tersimpan. .;-1
196;Riska Nurdin;04/02/2022 19:47;1;tidak berfungsi dgn baik;-1
197;Arya dicha;04/02/2022 17:26;1;Proses cepat .... Pengiriman sangat lah lambat saya bayar pajak tgl 31 Januari sampai sekarang tgl 4feb belum dikirim ke rumah? Mohon bantuannya・EE・EE・EE・EE;-1
198;Eka Saputra;04/02/2022 14:17;1;untuk kendaraan yang NIK nya sama dengan akun signal semuanya aman, TAPI setelah mendaftarkan kendaraan dengan NIK yang berbeda (masih satu KK), setelah melakukan pembayaran, tidak bisa lihat E-KD dan STNK digital, tampilan.a pesan error;-1
199;Hedra Enda;04/02/2022 14:10;1;Mohon menunya ditambah, bagi kami yang membeli kendaraan second kusulitan untuk mendaftar.. Terimakasih;-1
200;Eko Nayla;22/03/2022 7:55;2;Klo STNK milik nama orang lain&instansi gmn pak bos;0
201;Zane Argadhana;20/03/2022 14:28;2;Kurang membantu. Bintang ini akan bertamabah jika bisa membayar pajak tahunan yang BUKAN kendaraan saya. Alias, kendaraan BUKAN atas nama saya.;-1
202;Reyhan Aulia;20/03/2022 12:27;2;udah download 2 kali buat nyoba bayar pajak 2 motor yg beda eh tetep gabisa, gimanasih tetep suruh ke samsat. udh nanya admin sosmed nya juga tetep suruh ke samsat, ngapain online kl gt;1
203;cavin cavin;18/03/2022 16:46;2;Aplikasinya kelihatan bagus berguna, sama canggih. Tapi sayang AInya kecanggihan, ktp sama orang padahal sama tapi dianggap beda;-1
204;Ain Gisjawanti Azizah;18/03/2022 10:19;2;Sebenarnya sangat memudahkan kita tanpa harus mengantri ke kantor samsat ataupun drive thru, tapi untuk wilayah balikpapan pelayanannya lama banget, STNK baru dikirim setelah 2 bulan lamanya. Padahal selesai pengajuan tanggal 17 Januari, eh STNK nya baru sampai kemarin 17 Maret. Semoga pelayanannya semakin di tingkatkan lagi.;-1
205;I A Kresnayana;18/03/2022 10:10;2;Kenapa proses validasinya susah sekali padahal foto ktp ybs...;-1
206;Devit Tria;18/03/2022 3:25;2;saya belum menerima paket dari pos kok udh di Amggap selesai ?;-1
207;Gus Alwy Hamu;17/03/2022 9:07;2;Susah sekali verifikasinya!;-1
208;anggun dito;16/03/2022 18:05;2;Aq cob instal trs masuk daftr tp knapa kok ga bisa masuk no hp.no yg sya masukkan tdk trdftr.sya gntiﾂｲ no sama jg tdk trdftr.bingung sya mw pke layanan samsat online tp ga ngerti;-1
209;Rian Ahmad Zaeni;16/03/2022 14:52;2;Suruh cek email untuk verifikasi tapi ga ada pesan masuk d email saya,,gimana ini? Mana waktu sudah meped;-1
210;Aldo Syahputra;16/03/2022 13:50;2;Verifikasi ktp sama foto sangat sulit, dikarenakan sebelumnya kurus jadi gendut sangat tidak bisa dimengerti;-1
211;Juan Simarmata;16/03/2022 6:23;2;"Saat melakukan pendaftaran, selalu gagal karena selalu ""format email salah"" padahal selama ini email saya selalu benar dan selalu saya pakai";-1
212;ilham syah;15/03/2022 16:16;2;Dari daftar via online sampai selesai dan diantar via pos indonesia jangka waktunya terlalu lama masa bayar pajak ja sampai 2 minggu baru sampai dirumah berkas2 Pajak kendaraanya....;-1
213;Abizar Reza;14/03/2022 10:51;2;Kenapa pas verifikasi foto saya di e-ktp dan pas saya foto tidak bisa? Padahal wajah saya tidak ada perubahan;-1
214;channel all;13/03/2022 17:14;2;tambah nmr kendaraan masih ga bisa...perbaiki lagi donk minn;-1
215;Heny Mawarni;12/03/2022 11:11;2;Tolong dong kenapa akun saya data kendaraannya hilang. di daftarin lagi gak bisa karna sudah pernah di daftarin. ini saya mau samsat jadi ribet;-1
216;Gusri Wahyudi;12/03/2022 8:34;2;Tidak bisa daftr karna tidak bisa masukkan foto identitas kesalah terus;-1
217;Guruh Rahmadi;11/03/2022 19:54;2;Ini sy mau pendaftaran gngguan jaringan terus...gimana ini samsat harusnya sudh canggih..;-1
218;Dedi leonardo simanjuntak;11/03/2022 5:54;2;1. Jeda Waktu utk membayar terlalu singkat(kesanya diburu2) 2. lama dipra colecting;-1
219;Suryo Hadi;10/03/2022 22:03;2;Awalnya bagus pelayanannya 2, 3 hari STNK dah dikirim, sekarang biaya kirim mahal tapi pelayanannya lambat 7 hari cek status pra collecting,sudah 10 hari status proses antar tapi ga nyampe2.;-1
220;Tuti Farida;09/03/2022 12:37;2;Aplikasi payah;-1
221;Yusuf Ashari;09/03/2022 12:33;2;Sudah buru2 ke ATM sampai hampir ketabrak mobil. Pas mau dibayar ehhh! nggak bisa, walu berkali2 nyoba (Ya salam);-1
222;Zikiiir;09/03/2022 5:32;2;Saya sudah melakukan pembayaran, tapi pada aplikasi SIGNAL pembayaran nya belom terupdate hingga pembayaran tersebut menjadi kadaluarsa. Tolong perbaiki sistem sinkronisasi pembayaran nya, sepertinya hal ini masih sering terjadi pada aplikasi ini. Terima kasih;-1
223;deni susanto;08/03/2022 15:59;2;Gk bisa daftar... Gagal di foto selfie udah 20 kalo nyoba;-1
224;Asep Setiawan N;08/03/2022 10:07;2;Susah sekali untuk ngambil foto livenesnya,, bolak balik gk jadi2.. Mau menggunakan cara digital tapi malah lebih susah..;-1
225;affan zul;07/03/2022 13:52;2;Saya berharap adanya aplikasi mempermudah bagi org diluar kota. Stnk belum dikirim juga. Sudah dua minggu dari samsat labuhan batu utara. Sudah menghubungi cs disuruh menunggu juga..;-1
226;Wahyu Yudi;07/03/2022 9:41;2;Kalau nama KTP sama STNK beda gimana pak .. saya beli motornya bekas, masih nama pemilik lama, apakah bisa menggunakan aplikasi ini?;-1
227;Suratman;06/03/2022 23:35;2;Sudah buat akun dan verifikasi, tetapi tidak bisa menambahkan data kendaraan;-1
228;Anggri Yani;06/03/2022 15:25;2;Kenapa saat melakukan pembayaran ko ngga bisa ya..mohon infonya;-1
229;Iwan Darmawan;06/03/2022 11:51;2;Saya sudah 5x pengesahan stnk dan sudah mendapat kode pembayaran. Tp kenapa pas proses pembayaran baik via tranfer dan jasa indomart, selalu gagal dan tidak bisa di lakukan, kenapa..?? Tolong penjelasannya;-1
230;zain alfarizi;06/03/2022 9:33;2;Daftarnya susah.. mentok di kode otp gagal truss;-1
231;M.abdul Khakim;06/03/2022 6:38;2;Semoga kerja sama dengan pembayaran2 diperbaiki yg niat untuk kemudahan pembayar pajak.. kaya indomart.dan bank2..;0
232;taufik akbar;05/03/2022 13:05;2;Knp ya verifikasi foto selfienya susah bgt, keterangannya tidak sesuai dengan foto KTP, apakah ada yg sama? Perasaan daftar online yang lain gak susah untuk foto KTP dan selfienya. Mohon arahannya;-1
233;Samsul Haeri;05/03/2022 12:58;2;Kok susah bgt perevikasi muka nya;-1
234;jusuf pardede;05/03/2022 12:09;2;Saya sudah coba bbrp kali swafoto (selfi) tetapi tidak bisa juga..kalau aplikasi ini menitikberatkan pada foto akan tidak efisien, soalnya foto di e-ktp itu tahun 2017 jelas saya kelihatan beda sewaktu selfi tahun 2022. Bisa dikasih solusi utk ini sblm saya di denda karena keterlambatan bayar pajak?;-1
235;Anisa Nisa;03/03/2022 12:15;2;"Pas mau verifikasi wajah susahnya nauzubillah..ga bisaﾂｲ terus ada alert nya ""pastikan anda tidak berada di keramaian"" lah wong saya sendirian. Akhirnya karena ga bisa daftar saya uninstall. Mohon diperbaiki lagi sistemnya bapa ibu.";-1
236;sarjito daw;01/03/2022 19:35;2;Sudah 1 bulan bukti pajaknya gak sampai padahal lewat pos kilat expres ini gimana solusinya.?;-1
237;Siska Wulandary;28/02/2022 12:49;2;Pak saya mau bertanya kenapa saat mau transaksi prmbayaran selalu gagal Tameout..? Padahal waktu masih berjalan;-1
238;Iman Iriyanto;27/02/2022 11:14;2;Sudah dapat billing code tp ga bisa bayar, internet banking BRI ga bisa, Octo mobile CIMB jg ga bisa. Aplikasi ini berlaku seluruh wilayah Indonesia apa cm tertentu sj? Jogja bisa ga?;-1
239;Demank Chanel;27/02/2022 9:27;2;Sudah senyum2 sendiri di depan kamera kaya orang gila gak jadi2;-1
240;Steve Gunawan;25/02/2022 15:20;2;Verifikasinya susah sekali;-1
241;Dapur Mbak Ana;25/02/2022 12:05;2;2 dulu ya ,min . Saya belum jadi bayar Pkb pakai aplikasi soalnya;-1
242;Tomi Nugroho;23/02/2022 10:11;2;prosesnya lambat;-1
243;Raifsi Ska;23/02/2022 3:38;2;Sebenernya cukup membantu, Cuman pengiriman stnk nya yg begitu lama, sudah hampir 1 bulan status pengiriman blm ada, blm juga di proses2 pengirimannya. Tolong lah di perhatikan lagi, sudah kaya kirim beda negara aja sampe bulan2an blm di proses.;-1
244;Noti Santia;22/02/2022 8:24;2;Saat ini saya beri bintang 2 dulu Setelah dicoba bayar pajak melalui Aplikasi SIGNAL tahun berlaku STNK saya tidak berubah, masih sama dg STNK saya tahun kemaren tahun berlakunya. Seharunya berlaku sampai januari 2023. Tapi di STNK yg dikirim ke saya masih januari 2022 Setelah dilakulan perubahan, saya akan memberi bintang 5. Bertransaksinya sangat mudah sebenarnya. Hanya saja datanya tidak sesuai. Saya harap perubahan STNK saya segera diperbaharui. Terima Kasih;0
245;Andrew Bojesh;21/02/2022 10:24;2;gangguan jaringan mlulu...;-1
246;Arif Yudis;21/02/2022 3:14;2;Kebetulan pajak saya telat setahun. Dan ingin membayar pajak. Apakah bisa membayar via online? Saya coba tidak bisa. Beberapa kali gagal terus;0
247;Fandi Ahmad;20/02/2022 16:30;2;Kok verivikasi wajah sesalu gagal?;-1
248;hariyadi;19/02/2022 23:50;2;Aplikasi nya bagus, cuma petugas di lapangan nggak bagus,. Udah jelas tulisan nya. Sampai bisa bisanya tertukar dengan orang lain. Haduuuuuhhhh.. gimana ini.;1
249;TOP ANIME;17/02/2022 15:10;2;"Saya mau bayar pajak dengan metode pembayaran lewat Indomaret grup selalu maintenance mau jam berapa pun selalu maintenance,kata kasir nya ""mohon maaf terjadi maintenance sampai jam 08:00"" padahal udah lewat jam segitu Masih tetap sama. mohon di perhatikan lagi";-1
250;Akbar Aja 1 Google 1;16/02/2022 7:17;2;Buat konfirmasi tanggal pengiriman kartu nya, supaya pelanggan tidak bingung kapan2 dtg, gunakan nomor contact untuk bisa komunikasi via call;-1
251;Abchan Abc;14/02/2022 16:59;2;Kenapa sudah 2 bulan belum di kirim juga dokumen stnk nya? Apa harus ke kantor samsat? Trus gimana biaya ongkir pada saat bayar kalo ambil sendiri;-1
252;Evirta Lili;14/02/2022 11:36;2;Aplikasinya udh bagus.. giliran mo ngambil musti bawa bpkp, sntk, ktp, mengcape sekali.. padahal tinggal ambil printannya doang;-1
253;Fadli Barito;14/02/2022 7:41;2;Transaksi gagal terus dan sdh di cb selama seminggu ini..,;-1
254;Hadi Nugroho;13/02/2022 20:43;2;Susah sekali untuk verifikasi e KTP.;-1
255;kiki riyanti;13/02/2022 1:34;2;Desember bayar pajak motor pertama online lancar. Ini februari mau bayar ko tidak berhasil pemdaftaran pengesahan stnk. Dm samsatonline awal doang dbales. Selanjutnya diam aja tuh. Responnya gimana ya? Tolong dbantu.;-1
256;Suhadi Arkan;12/02/2022 13:59;2;Verifikasi KTP dan wajah selalu gagal;-1
257;Erlan;11/02/2022 13:43;2;Mau coba tambahkan nik ktp istri karena motor an.istri tidak bisa.gagal terus padahal satu kk.;-1
258;Andina Rampay;11/02/2022 10:50;2;Udah coba mau bikin verifikasi nya gagal melulu dengan alasan verifikasi wajah tidak sama dengan gambar di KTP ya iyalah nggak sama pas foto KTP itu umur masih 19 tahun sekarang umur udah kepala 3 ya pasti bedalah gimana sihh;-1
259;linda rosalini;10/02/2022 8:42;2;Saya kira klo sudah pake aplikasi ini lalu ambil stnk nya dikantor samsat akan dipisahkan antriannya sama yg bayar offline/dikantor ternyata sama saja masih ngantri.. sudah gitu persyaratannya juga sama saja dengan yg offline;-1
260;Farhand Man;10/02/2022 7:22;2;sy trdpt kendala pd pdftran kendaraan utk byr pajak, sy dftrkan kendaraan atas nama orang tua bs dan byr pajak bisa pada saat itu, sdgkn kendaraan ats nama sy sndr tdk bs di dftrkan, krn sdh mendekati masa pajak akhirnya lwt aplikasi online lain namun bukti resmi dr samsat tdk bs d kirim k rumah,;-1
261;pulung anggoro;10/02/2022 6:44;2;1. Untuk daftar awal kode OTP g dikirimﾂｲ sampe 3 percobaan sampe diminta coba hari berikutnya... Setelah 1 bulan coba lagi berhasil 2. pas pendaftaran pengesahaan, jenis pengiriman muncul notifikasi : sistem pengiriman belum dapat melayani pengiriman ini.. Masih belum memudahkan pelanggan... semoga ada perbaikan kedepan terimakasih sudah mengarah ke digital;-1
262;Eka Prajayadi;08/02/2022 13:03;2;Tambah data kendaraan gagal terus. Padahal data udah lengkap dan benar.;-1
263;Ikhsan Murodly;08/02/2022 11:12;2;Saat akan verifikasi ktp terjadi eror tidak bisa menyimpan gambar terus. Tolong segera diperbaiki;-1
264;Muhamad Ardhi Nugraha;07/02/2022 18:13;2;Padahal udah bagus ini aplikasi. Sangat membantu untuk mempermudah pembayaran. Tapi kenapa dari hari Sabtu sampe hari ini tidak bisa untuk melakukan pengesahan STNK. ・EE・EE・EEｭ;1
265;ilyas doang;07/02/2022 11:03;2;Ngapain ada aplikasinya kalau daptar nya aja susah.kesel jadi .beberapa kali daptar gagal terus .;-1
266;iqbal pramono;05/02/2022 7:50;2;Saya mau tanya dong kok saya sudah bayar pengesahan dan milih kirim lewat poss ekspress sejak tgl 2 tapi sampai sekarang belum berubah statusnya dan masih belum datang stnknya? Terimakasih;0
267;Poin Rich;05/02/2022 7:29;2;Susah masuk;-1
268;YS Zhuo;04/02/2022 19:19;2;Setiap kali sampai dipilihan pengiriman selalu tidak bisa... Tolong secepatnya diperbaiki.;-1
269;Hasra Mangamis;04/02/2022 6:58;2;Mau mendaftarkan aplikasi saja tidak bisa,hanya sampai di pengambilan data,dan foto selfi kemudian tidak bisa di lanjutkn..tolong lebih di tingkatkan lagi demi ke mudahan kita bersama;-1
270;Fadly Azzuchruf;03/02/2022 14:48;2;Saat verifikasi ga bisa karena dikira wajah dan foto ktp tidak sama padahal wajah saya ga berubah;-1
271;bapak kepo;03/02/2022 11:26;2;Daftar akunnya gak bisa2....verivikasi pas foto wajah gagal terus... Padahal uda nyoba di tempat terang... Beda background tetep gagal... Bagaimana caranya ya;-1
272;Johan Sakti Suparman;03/02/2022 8:21;2;Ini kenapa ya tiap klik jenis pengiriman selalu ga bisa??, dari kemaren di coba ga bisa terus;-1
273;dewax chanel;02/02/2022 19:19;2;Kenapa tidak bisa input nomor rangka ?;-1
274;Jasuma;02/02/2022 15:36;2;Di wilayah Lampung masih tahap pengembangan,belum bisa melakukan pembayaran pengesahan STNK;-1
275;Suci Andini;30/01/2022 16:20;2;Susah bgt foto verifikasi nya;-1
276;Safry 31;30/01/2022 14:42;2;Apakah aplikasi ini bisa membayar pajak motor dengan nama yg berbeda.? STNK motor saya atas nama orang lain tidak dalam satu kartu keluarga.;0
277;Riv Bergsteiger;29/01/2022 12:29;2;Lebih praktis dan murah E-Samsat Online Nasional yg lama, proses registrasi SIGNAL berulang2 baru berhasil, proses swafoto ada tulisan kecil yg tidak terbaca kalau tidak menggunakan kacamata, seperti tegakkan hp anda, kedipkan mata & senyum. Signal Ada Biaya Administrasi 10.000 dan biaya kirim Pos Kilat Khusus dalam kota 9.500 pada Samsat Online Nasional sebelumnya tidak ada biaya Administrasi dan biaya kirim hanya 5000. Mungkin Biaya Administrasi sebagai penghasilan pihak ke 3 yg mengembangkan aplikasi. Pembayaran Bank BUMN & Bappeda, tidak ada bank Swasta.;-1
278;ghost jackall;28/01/2022 15:51;2;Dua dulu STNK nya belum sampai dari tgl 26 november 2021, kalau sampai baru saya kasih 5;-1
279;Heru Prasetyo;27/01/2022 8:58;2;Untuk pengguna motor bekas/second terkendala pada KTP, seharus nya cukup menggunakan STNK Dan BPKB untuk proses perpanjangan nya, sehingga memudahkan kami sebagai pengguna motor bekas;0
280;Ashidq_ dq;25/01/2022 8:18;2;Susah tambahkan kendaraan data sudah benar tetap saja gagal.;-1
281;Tito Setiaji;22/01/2022 13:16;2;Belum bisa pembayaran via BRI sampai sekarang.;-1
282;Nurul Fathimah;21/01/2022 11:17;2;Mohon izin bersuara,yg lain masih bisa setidaknya login,ini sy mau verifikasi data aja tidak bisa bisa , pdhl semua sudah sesuai dgn yg dianjurkan/diarahkan. Tapi gabisa daftar untuk buat akun,bingung kesalahannya tuh dimana sampe gabisa daftar akun・EE・EE・EEｭ;-1
283;Zaenal Arifin;20/01/2022 12:54;2;no stnk motor saya tidak ditemukan;-1
284;juhar mawan;20/01/2022 11:41;2;Tolong permudah lagi untuk pengiriman bukti fisiknya. Menu pengiriman melalui pos ada, tp saat dicoba mengalami gangguan dan tidak bisa;-1
285;Galuh adi saputra;19/01/2022 15:58;2;Untuk pembayaran online masih ada kendala. Pada saat mau dikirim ke alamat. Pada pengisian alamat. untuk kolom samsat masih ada bintang padahal sudah diisi. Dan jenis pengiriman tidak bisa di tulis. Dan untuk pembayaran tanpa kirim ke alamat juga ada masalah dan tunggu beberapa saat lagi. Lebih baik diupdate untuk tersedia daftar jam kerja samsat.;-1
286;Fajar Abdurahman;19/01/2022 11:16;2;Belum suport untuk wilayah Lampung... Server selalu gangguan,sudah komplein via email jawabannya selalu server sedang perbaikan.... Klo belum suport untuk wilayah tertetu harusnya ada layanan informasi diaplikasinya...;-1
287;Dedy Yuliarko;19/01/2022 8:27;2;Aplikasi tidak bisa digunakan untuk sepeda motor yang dibeli second, karena untuk mendaftarkan sepeda motor dibaplikasi pilihannya hanya milik sendiri dan keluarga 1 KK. Begitu ya ?;-1
288;Benny Padang;18/01/2022 9:37;2;"Koneksi ・EE・EE・EE. Daftar & verifikasi wajah ・EE・EE・EE. Pendaftaran kendaraan ・EE・EE・EE. Data TBPKP sesuai. Masukkan alamat pengiriman ・EE・EE・EE. Giliran masukkan jenis pengiriman selalu ""dapat melayani permintaan ini. Silahkan coba beberapa saat lagi."" ・EE・EE・EE. Di-next-kan nggak bisa. Orang malah gk jadi bayar pajak dari sini, atau tetap harus pengesahan sendiri di samsat. Padahal lewat online lebih dianjurkan pas COVID gini, apalagi kemungkinan PPKM diperketat masih ada. Mohon diperbaiki.bbangkan aplli. Pembayar";-1
